Year,RANK,Country name,Regional indicator,Happiness score,Whisker-high,Whisker-low,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
2020,1,Finland,Western Europe,7.808700085,7.869766235,7.747633934,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026
2020,2,Denmark,Western Europe,7.645599842,7.711244583,7.579955101,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
2020,3,Switzerland,Western Europe,7.559899807,7.628527641,7.491271973,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741
2020,4,Iceland,Western Europe,7.504499912,7.621346951,7.387652874,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114
2020,5,Norway,Western Europe,7.487999916,7.55628109,7.419718742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296
2020,6,Netherlands,Western Europe,7.448900223,7.503372192,7.394428253,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062
2020,7,Sweden,Western Europe,7.353499889,7.424519062,7.282480717,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267
2020,8,New Zealand,North America and ANZ,7.299600124,7.376952648,7.222247601,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025
2020,9,Austria,Western Europe,7.294199944,7.359595776,7.228804111,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083
2020,10,Luxembourg,Western Europe,7.237500191,7.297969818,7.177030563,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352
2020,11,Canada,North America and ANZ,7.23210001,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108
2020,12,Australia,North America and ANZ,7.222799778,7.30480814,7.140791416,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134
2020,13,United Kingdom,Western Europe,7.164500237,7.237337589,7.091662884,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992
2020,14,Israel,Middle East and North Africa,7.128600121,7.211929798,7.045270443,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402
2020,15,Costa Rica,Latin America and Caribbean,7.121399879,7.209239483,7.033560276,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014
2020,16,Ireland,Western Europe,7.093699932,7.171832085,7.01556778,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174
2020,17,Germany,Western Europe,7.075799942,7.145595074,7.00600481,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462
2020,18,United States,North America and ANZ,6.939599991,7.032339573,6.846860409,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794
2020,19,Czech Republic,Central and Eastern Europe,6.910900116,6.994966984,6.826833248,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243
2020,20,Belgium,Western Europe,6.863500118,6.930866241,6.796133995,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614
2020,21,United Arab Emirates,Middle East and North Africa,6.790800095,6.870568752,6.711031437,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961
2020,22,Malta,Western Europe,6.772799969,6.856997967,6.688601971,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062
2020,23,France,Western Europe,6.663799763,6.737450123,6.590149403,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
2020,24,Mexico,Latin America and Caribbean,6.465000153,6.559319973,6.370680332,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197
2020,25,Taiwan Province of China,East Asia,6.45539999,6.532113552,6.378686428,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743
2020,26,Uruguay,Latin America and Caribbean,6.440100193,6.529121399,6.351078987,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382
2020,27,Saudi Arabia,Middle East and North Africa,6.406499863,6.517305851,6.295693874,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801
2020,28,Spain,Western Europe,6.400899887,6.483808517,6.317991257,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432
2020,29,Guatemala,Latin America and Caribbean,6.398900032,6.5133605,6.284439564,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093
2020,30,Italy,Western Europe,6.38740015,6.47224474,6.302555561,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997
2020,31,Singapore,Southeast Asia,6.377099991,6.442287445,6.311912537,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746
2020,32,Brazil,Latin America and Caribbean,6.375599861,6.455549717,6.295650005,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313
2020,33,Slovenia,Central and Eastern Europe,6.363399982,6.449328899,6.277471066,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521
2020,34,El Salvador,Latin America and Caribbean,6.34829998,6.462466717,6.234133244,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725
2020,35,Kosovo,Central and Eastern Europe,6.325200081,6.427544117,6.222856045,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714
2020,36,Panama,Latin America and Caribbean,6.304800034,6.421860695,6.187739372,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147
2020,37,Slovakia,Central and Eastern Europe,6.280600071,6.35683918,6.204360962,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043
2020,38,Uzbekistan,Commonwealth of Independent States,6.257599831,6.36388588,6.151313782,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615
2020,39,Chile,Latin America and Caribbean,6.228499889,6.318118572,6.138881207,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867
2020,40,Bahrain,Middle East and North Africa,6.227300167,6.387789249,6.066811085,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362
2020,41,Lithuania,Central and Eastern Europe,6.215499878,6.302118301,6.128881454,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067
2020,42,Trinidad and Tobago,Latin America and Caribbean,6.191899776,6.416218758,5.967580795,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763
2020,43,Poland,Central and Eastern Europe,6.186299801,6.255880356,6.116719246,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981
2020,44,Colombia,Latin America and Caribbean,6.163400173,6.274102688,6.052697659,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609
2020,45,Cyprus,Western Europe,6.15899992,6.258187771,6.059812069,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805
2020,46,Nicaragua,Latin America and Caribbean,6.13710022,6.262318611,6.011881828,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114
2020,47,Romania,Central and Eastern Europe,6.123700142,6.216668129,6.030732155,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767
2020,48,Kuwait,Middle East and North Africa,6.102099895,6.206563473,5.997636318,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999
2020,49,Mauritius,Sub-Saharan Africa,6.101299763,6.213463783,5.989135742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
2020,50,Kazakhstan,Commonwealth of Independent States,6.057899952,6.1426301,5.973169804,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631
2020,51,Estonia,Central and Eastern Europe,6.021800041,6.092330933,5.95126915,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112
2020,52,Philippines,Southeast Asia,6.006000042,6.103722572,5.908277512,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886
2020,53,Hungary,Central and Eastern Europe,6.000400066,6.077767372,5.923032761,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722
2020,54,Thailand,Southeast Asia,5.998799801,6.082288742,5.91531086,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109
2020,55,Argentina,Latin America and Caribbean,5.974699974,6.079445839,5.869954109,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998
2020,56,Honduras,Latin America and Caribbean,5.953199863,6.082033634,5.824366093,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387
2020,57,Latvia,Central and Eastern Europe,5.949999809,6.018282413,5.881717205,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054
2020,58,Ecuador,Latin America and Caribbean,5.925199986,6.028846264,5.821553707,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834
2020,59,Portugal,Western Europe,5.910900116,6.015089989,5.806710243,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708
2020,60,Jamaica,Latin America and Caribbean,5.889800072,6.126157284,5.65344286,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531
2020,61,South Korea,East Asia,5.872399807,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078
2020,62,Japan,East Asia,5.870800018,5.951927662,5.789672375,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333
2020,63,Peru,Latin America and Caribbean,5.796800137,5.916970253,5.67663002,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546
2020,64,Serbia,Central and Eastern Europe,5.77820015,5.877596378,5.678803921,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098
2020,65,Bolivia,Latin America and Caribbean,5.747499943,5.846765041,5.648234844,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593
2020,66,Pakistan,South Asia,5.69329977,5.78780365,5.598795891,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736
2020,67,Paraguay,Latin America and Caribbean,5.692100048,5.793937683,5.590262413,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528
2020,68,Dominican Republic,Latin America and Caribbean,5.689199924,5.826069355,5.552330494,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864
2020,69,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,5.765016556,5.583183289,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205
2020,70,Moldova,Commonwealth of Independent States,5.607500076,5.690360069,5.524640083,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342
2020,71,Tajikistan,Commonwealth of Independent States,5.555699825,5.619050026,5.492349625,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835
2020,72,Montenegro,Central and Eastern Europe,5.54610014,5.642112255,5.450088024,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882
2020,73,Russia,Commonwealth of Independent States,5.546000004,5.623634815,5.468365192,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743
2020,74,Kyrgyzstan,Commonwealth of Independent States,5.541500092,5.627108097,5.455892086,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652
2020,75,Belarus,Commonwealth of Independent States,5.539899826,5.612537384,5.467262268,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911
2020,76,North Cyprus,Western Europe,5.53550005,5.635532856,5.435467243,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766
2020,77,Greece,Western Europe,5.514999866,5.606986046,5.423013687,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2.016179085
2020,78,Hong Kong S.A.R. of China,East Asia,5.510399818,5.600596905,5.420202732,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114
2020,79,Croatia,Central and Eastern Europe,5.504700184,5.578756332,5.430644035,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205
2020,80,Libya,Middle East and North Africa,5.488800049,5.607727528,5.36987257,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
2020,81,Mongolia,East Asia,5.456200123,5.535213947,5.377186298,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563
2020,82,Malaysia,Southeast Asia,5.384300232,5.479953289,5.288647175,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815
2020,83,Vietnam,Southeast Asia,5.353499889,5.41974926,5.287250519,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936
2020,84,Indonesia,Southeast Asia,5.285600185,5.379077435,5.192122936,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488
2020,85,Ivory Coast,Sub-Saharan Africa,5.233300209,5.376567364,5.090033054,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501
2020,86,Benin,Sub-Saharan Africa,5.21600008,5.368408203,5.063591957,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
2020,87,Maldives,South Asia,5.197599888,5.338691235,5.056508541,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774
2020,88,Congo (Brazzaville),Sub-Saharan Africa,5.194399834,5.345376492,5.043423176,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534
2020,89,Azerbaijan,Commonwealth of Independent States,5.164800167,5.231826782,5.097773552,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971
2020,90,Macedonia,Central and Eastern Europe,5.159800053,5.251452446,5.068147659,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957
2020,91,Ghana,Sub-Saharan Africa,5.147999763,5.262923717,5.033075809,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
2020,92,Nepal,South Asia,5.137199879,5.250276566,5.024123192,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892
2020,93,Turkey,Middle East and North Africa,5.131800175,5.20988369,5.05371666,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713
2020,94,China,East Asia,5.123899937,5.174667358,5.073132515,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879
2020,95,Turkmenistan,Commonwealth of Independent States,5.119100094,5.17668438,5.061515808,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372
2020,96,Bulgaria,Central and Eastern Europe,5.101500034,5.188173294,5.014826775,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,1.294961452
2020,97,Morocco,Middle East and North Africa,5.094799995,5.203875065,4.985724926,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472
2020,98,Cameroon,Sub-Saharan Africa,5.084899902,5.216800213,4.952999592,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
2020,99,Venezuela,Latin America and Caribbean,5.053199768,5.179189682,4.927209854,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086
2020,100,Algeria,Middle East and North Africa,5.005099773,5.09180212,4.918397427,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729
2020,101,Senegal,Sub-Saharan Africa,4.980800152,5.084227562,4.877372742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
2020,102,Guinea,Sub-Saharan Africa,4.949299812,5.09246254,4.806137085,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
2020,103,Niger,Sub-Saharan Africa,4.909599781,5.060927868,4.758271694,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577
2020,104,Laos,Southeast Asia,4.888599873,4.967526436,4.809673309,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639
2020,105,Albania,Central and Eastern Europe,4.882699966,4.992686749,4.772713184,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036
2020,106,Cambodia,Southeast Asia,4.848400116,4.962093353,4.734706879,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037
